Slang,Makna,No_Konteks,Konteks
semangatt,semangat,248,"@convomf sebenernya seseorang itu ada, cuma maybe km lg ada di fase depresi bgt yg smpe mikir ""percuma mereka gaakan ngerti yg aku rasain"" makanya km bilang gitu, pasti ada ko nder yg peduli ma km, coba km lebih terbuka sm org yg km percayaa, semangatt &lt;3"
lt,itu,248,"@convomf sebenernya seseorang itu ada, cuma maybe km lg ada di fase depresi bgt yg smpe mikir ""percuma mereka gaakan ngerti yg aku rasain"" makanya km bilang gitu, pasti ada ko nder yg peduli ma km, coba km lebih terbuka sm org yg km percayaa, semangatt &lt;3"
self,diri,249,"baru paham kenapa orang2 depresi itu ada yang bisa sampai self harm. ternyata depresi kalo udah ketrigger itu sakit banget, dan rasa sakit self harm itu bisa jadi pengalih untuk rasa sakit depresi. kalo ga mempan dan ga kuat nahan rasa sakit depresi, opsi terakhir ya bunuh diri."
harm,menyakiti,249,"baru paham kenapa orang2 depresi itu ada yang bisa sampai self harm. ternyata depresi kalo udah ketrigger itu sakit banget, dan rasa sakit self harm itu bisa jadi pengalih untuk rasa sakit depresi. kalo ga mempan dan ga kuat nahan rasa sakit depresi, opsi terakhir ya bunuh diri."
ketrigger,terpicu,249,"baru paham kenapa orang2 depresi itu ada yang bisa sampai self harm. ternyata depresi kalo udah ketrigger itu sakit banget, dan rasa sakit self harm itu bisa jadi pengalih untuk rasa sakit depresi. kalo ga mempan dan ga kuat nahan rasa sakit depresi, opsi terakhir ya bunuh diri."
nahan,menahan,249,"baru paham kenapa orang2 depresi itu ada yang bisa sampai self harm. ternyata depresi kalo udah ketrigger itu sakit banget, dan rasa sakit self harm itu bisa jadi pengalih untuk rasa sakit depresi. kalo ga mempan dan ga kuat nahan rasa sakit depresi, opsi terakhir ya bunuh diri."
pushed,,250,"Ada, tapi kamu lagi ada diposisi bawah jadi kadang kLo lagi depresi itu suka pushed away people.. tapi yakin deh pasti bakal ada yg mau temenan atau bantu kamu.."
away,cara,250,"Ada, tapi kamu lagi ada diposisi bawah jadi kadang kLo lagi depresi itu suka pushed away people.. tapi yakin deh pasti bakal ada yg mau temenan atau bantu kamu.."
people,orang,250,"Ada, tapi kamu lagi ada diposisi bawah jadi kadang kLo lagi depresi itu suka pushed away people.. tapi yakin deh pasti bakal ada yg mau temenan atau bantu kamu.."
anggep,menganggap,252,"Ibunya sekarang lagi kena gejala depresi kayanya (kalo orang desa mungkin anggep dia kaya kerasukan setan). Udah ga pernah keluar rumah buat bersosialisasi, padahal dulu dia kaya sering main kesini buat Ghibah ala ibu ibu"
ghibah,gibah,252,"Ibunya sekarang lagi kena gejala depresi kayanya (kalo orang desa mungkin anggep dia kaya kerasukan setan). Udah ga pernah keluar rumah buat bersosialisasi, padahal dulu dia kaya sering main kesini buat Ghibah ala ibu ibu"
gaes,kawan,253,"Masih muda si gaes umur belum ada 35 keknya, menurutku si depresi ya karena rumah tangga yang gitu² aja, suami dia kerja semaunya (jualan jajan anak² SD gitu goreng²) terus anaknya nakalnya minta ampun ga ada sopan santun sama keluarga sendiri"
apaa,apa,255,"Entah bipolar atau apaa gitu intinya dia bisa ngelakuin dihal yg gamasuk akal gituu,segala cara dilakuin buat ngedapetin sesuatu dg cara yamg ga adil"
ngelakuin,melakukan,255,"Entah bipolar atau apaa gitu intinya dia bisa ngelakuin dihal yg gamasuk akal gituu,segala cara dilakuin buat ngedapetin sesuatu dg cara yamg ga adil"
gamasuk,tidak masuk,255,"Entah bipolar atau apaa gitu intinya dia bisa ngelakuin dihal yg gamasuk akal gituu,segala cara dilakuin buat ngedapetin sesuatu dg cara yamg ga adil"
gituu,begitu,255,"Entah bipolar atau apaa gitu intinya dia bisa ngelakuin dihal yg gamasuk akal gituu,segala cara dilakuin buat ngedapetin sesuatu dg cara yamg ga adil"
dilakuin,dilakukan,255,"Entah bipolar atau apaa gitu intinya dia bisa ngelakuin dihal yg gamasuk akal gituu,segala cara dilakuin buat ngedapetin sesuatu dg cara yamg ga adil"
ngedapetin,mendapatkan,255,"Entah bipolar atau apaa gitu intinya dia bisa ngelakuin dihal yg gamasuk akal gituu,segala cara dilakuin buat ngedapetin sesuatu dg cara yamg ga adil"
dg,dengan,255,"Entah bipolar atau apaa gitu intinya dia bisa ngelakuin dihal yg gamasuk akal gituu,segala cara dilakuin buat ngedapetin sesuatu dg cara yamg ga adil"
yamg,yang,255,"Entah bipolar atau apaa gitu intinya dia bisa ngelakuin dihal yg gamasuk akal gituu,segala cara dilakuin buat ngedapetin sesuatu dg cara yamg ga adil"
kdrt,kekerasan dalam rumah tangga,256,"Lumayan bikin depresi bacanya karena perasaan2 tokohnya bisa tersampaikan dengan baik kepada pembaca. Tw: pelecehan seksual, kdrt, drugs, depresi, suicide."
drugs,narkoba,256,"Lumayan bikin depresi bacanya karena perasaan2 tokohnya bisa tersampaikan dengan baik kepada pembaca. Tw: pelecehan seksual, kdrt, drugs, depresi, suicide."
maafya,maaf ya,257,maafya pagipagi misuh. jujur cape bgt sm budaya kaya gini. tapi bingung jg gimana cara ngomong nya. bcs yg bakal disalahin anak lagi anak lagi kan? aku ceritain kena bipolar berharap ada pengertian aja malah di adu nasib anjg wkwkwkwkwk LO BAYANGIN ADU NASIP SM IBU SENDIRI🤣🤣🤣
pagipagi,pagi-pagi,257,maafya pagipagi misuh. jujur cape bgt sm budaya kaya gini. tapi bingung jg gimana cara ngomong nya. bcs yg bakal disalahin anak lagi anak lagi kan? aku ceritain kena bipolar berharap ada pengertian aja malah di adu nasib anjg wkwkwkwkwk LO BAYANGIN ADU NASIP SM IBU SENDIRI🤣🤣🤣
bcs,karena,257,maafya pagipagi misuh. jujur cape bgt sm budaya kaya gini. tapi bingung jg gimana cara ngomong nya. bcs yg bakal disalahin anak lagi anak lagi kan? aku ceritain kena bipolar berharap ada pengertian aja malah di adu nasib anjg wkwkwkwkwk LO BAYANGIN ADU NASIP SM IBU SENDIRI🤣🤣🤣
disalahin,disalahkan,257,maafya pagipagi misuh. jujur cape bgt sm budaya kaya gini. tapi bingung jg gimana cara ngomong nya. bcs yg bakal disalahin anak lagi anak lagi kan? aku ceritain kena bipolar berharap ada pengertian aja malah di adu nasib anjg wkwkwkwkwk LO BAYANGIN ADU NASIP SM IBU SENDIRI🤣🤣🤣
ceritain,ceritakan,257,maafya pagipagi misuh. jujur cape bgt sm budaya kaya gini. tapi bingung jg gimana cara ngomong nya. bcs yg bakal disalahin anak lagi anak lagi kan? aku ceritain kena bipolar berharap ada pengertian aja malah di adu nasib anjg wkwkwkwkwk LO BAYANGIN ADU NASIP SM IBU SENDIRI🤣🤣🤣
anjg,anjing,257,maafya pagipagi misuh. jujur cape bgt sm budaya kaya gini. tapi bingung jg gimana cara ngomong nya. bcs yg bakal disalahin anak lagi anak lagi kan? aku ceritain kena bipolar berharap ada pengertian aja malah di adu nasib anjg wkwkwkwkwk LO BAYANGIN ADU NASIP SM IBU SENDIRI🤣🤣🤣
wkwkwkwkwk,tawa,257,maafya pagipagi misuh. jujur cape bgt sm budaya kaya gini. tapi bingung jg gimana cara ngomong nya. bcs yg bakal disalahin anak lagi anak lagi kan? aku ceritain kena bipolar berharap ada pengertian aja malah di adu nasib anjg wkwkwkwkwk LO BAYANGIN ADU NASIP SM IBU SENDIRI🤣🤣🤣
bayangin,bayangkan,257,maafya pagipagi misuh. jujur cape bgt sm budaya kaya gini. tapi bingung jg gimana cara ngomong nya. bcs yg bakal disalahin anak lagi anak lagi kan? aku ceritain kena bipolar berharap ada pengertian aja malah di adu nasib anjg wkwkwkwkwk LO BAYANGIN ADU NASIP SM IBU SENDIRI🤣🤣🤣
nasip,nasib,257,maafya pagipagi misuh. jujur cape bgt sm budaya kaya gini. tapi bingung jg gimana cara ngomong nya. bcs yg bakal disalahin anak lagi anak lagi kan? aku ceritain kena bipolar berharap ada pengertian aja malah di adu nasib anjg wkwkwkwkwk LO BAYANGIN ADU NASIP SM IBU SENDIRI🤣🤣🤣
makasih,terima kasih,258,"@kaelakovalskia Makasih Ela yang selalu bikin semangat menjalani minggu baru setiap senin pagi. Kamu beneran mood booster dan obat anti depresi. Rest well, take care of your health."
beneran,benaran,258,"@kaelakovalskia Makasih Ela yang selalu bikin semangat menjalani minggu baru setiap senin pagi. Kamu beneran mood booster dan obat anti depresi. Rest well, take care of your health."
booster,pemacu,258,"@kaelakovalskia Makasih Ela yang selalu bikin semangat menjalani minggu baru setiap senin pagi. Kamu beneran mood booster dan obat anti depresi. Rest well, take care of your health."
well,baik,258,"@kaelakovalskia Makasih Ela yang selalu bikin semangat menjalani minggu baru setiap senin pagi. Kamu beneran mood booster dan obat anti depresi. Rest well, take care of your health."
care,peduli,258,"@kaelakovalskia Makasih Ela yang selalu bikin semangat menjalani minggu baru setiap senin pagi. Kamu beneran mood booster dan obat anti depresi. Rest well, take care of your health."
your,milkmu,258,"@kaelakovalskia Makasih Ela yang selalu bikin semangat menjalani minggu baru setiap senin pagi. Kamu beneran mood booster dan obat anti depresi. Rest well, take care of your health."
dlu,dahulu,259,Depresi dlu gak sih
story,cerita,260,"Di ig orang-orang bahagia posting story takbiran, ngobrol sama keluarga, foto langit caption minta maaf pake bahasa Arab. Di Twitter pada depresi semua."
caption,takarir,260,"Di ig orang-orang bahagia posting story takbiran, ngobrol sama keluarga, foto langit caption minta maaf pake bahasa Arab. Di Twitter pada depresi semua."
twitter,twitter,260,"Di ig orang-orang bahagia posting story takbiran, ngobrol sama keluarga, foto langit caption minta maaf pake bahasa Arab. Di Twitter pada depresi semua."
strok,stroke,261,"@hauzabid @AREAJULID Strok tuh bibir , tinggal jawab doank. Untung ga di tanya kapan nikah, kapan dpt kerja. Lebih depresi prtanyaan kek gt sih"
doank,saja,261,"@hauzabid @AREAJULID Strok tuh bibir , tinggal jawab doank. Untung ga di tanya kapan nikah, kapan dpt kerja. Lebih depresi prtanyaan kek gt sih"
dpt,dapat,261,"@hauzabid @AREAJULID Strok tuh bibir , tinggal jawab doank. Untung ga di tanya kapan nikah, kapan dpt kerja. Lebih depresi prtanyaan kek gt sih"
prtanyaan,pertanyaan,261,"@hauzabid @AREAJULID Strok tuh bibir , tinggal jawab doank. Untung ga di tanya kapan nikah, kapan dpt kerja. Lebih depresi prtanyaan kek gt sih"
rosa,,262,"@aldenialalfahri @SNil73 @MNC_Pictures Iya betul, mama Rosa seketika lupa bagaimana depresi nya dia ketika pesawat Aldebaran hilang, dan sekarang menguatkan Andin untuk ikhlas dengan hasil pencarian nya"
aldebaran,,262,"@aldenialalfahri @SNil73 @MNC_Pictures Iya betul, mama Rosa seketika lupa bagaimana depresi nya dia ketika pesawat Aldebaran hilang, dan sekarang menguatkan Andin untuk ikhlas dengan hasil pencarian nya"
andin,,262,"@aldenialalfahri @SNil73 @MNC_Pictures Iya betul, mama Rosa seketika lupa bagaimana depresi nya dia ketika pesawat Aldebaran hilang, dan sekarang menguatkan Andin untuk ikhlas dengan hasil pencarian nya"
samsek,sama sekali,263,"Ga nangis samsek, soalnya dah sering nangis karna depresi 😎"
solat,salat,264,Bisa bisanya depresi pas solat ied tadi. Tiba tiba
ied,hari raya,264,Bisa bisanya depresi pas solat ied tadi. Tiba tiba
ttg,tentang,265,"@animefess_ Seru ttg dunia paralel,seperti berjuang kembali ke dunia sebenarnya akibat ulah sendiri gtu,time travel bkn ya,sepertinya bkn juga..seru koq itu..kasian MC nya dr saklek jd serius depresi"
time,waktu,265,"@animefess_ Seru ttg dunia paralel,seperti berjuang kembali ke dunia sebenarnya akibat ulah sendiri gtu,time travel bkn ya,sepertinya bkn juga..seru koq itu..kasian MC nya dr saklek jd serius depresi"
travel,perjalanan,265,"@animefess_ Seru ttg dunia paralel,seperti berjuang kembali ke dunia sebenarnya akibat ulah sendiri gtu,time travel bkn ya,sepertinya bkn juga..seru koq itu..kasian MC nya dr saklek jd serius depresi"
koq,kok,265,"@animefess_ Seru ttg dunia paralel,seperti berjuang kembali ke dunia sebenarnya akibat ulah sendiri gtu,time travel bkn ya,sepertinya bkn juga..seru koq itu..kasian MC nya dr saklek jd serius depresi"
mc,pemandu acara,265,"@animefess_ Seru ttg dunia paralel,seperti berjuang kembali ke dunia sebenarnya akibat ulah sendiri gtu,time travel bkn ya,sepertinya bkn juga..seru koq itu..kasian MC nya dr saklek jd serius depresi"
adhd,adhd,267,kalo bpd dan bipolar ga bisa diam lalu diriku yang adhd gmn anjir
borsi,aborsi,271,"jangan ambil pilihan 4borsi tpi mereka hrs berdamai sm ortu, gaboleh makin ngelawan krna ya cuma ortu mereka yg bisa bantu, anak mo dirawat atau kasih panti ya itu bisa dipikirin.. INI DRAMA KENAPA TOPIK YANG DIBAHAS BERAT SEMUA ; utang, pembohong, depresi, hamil anak sma tbc"
tpi,tetapi,271,"jangan ambil pilihan 4borsi tpi mereka hrs berdamai sm ortu, gaboleh makin ngelawan krna ya cuma ortu mereka yg bisa bantu, anak mo dirawat atau kasih panti ya itu bisa dipikirin.. INI DRAMA KENAPA TOPIK YANG DIBAHAS BERAT SEMUA ; utang, pembohong, depresi, hamil anak sma tbc"
hrs,harus,271,"jangan ambil pilihan 4borsi tpi mereka hrs berdamai sm ortu, gaboleh makin ngelawan krna ya cuma ortu mereka yg bisa bantu, anak mo dirawat atau kasih panti ya itu bisa dipikirin.. INI DRAMA KENAPA TOPIK YANG DIBAHAS BERAT SEMUA ; utang, pembohong, depresi, hamil anak sma tbc"
gaboleh,tidak boleh,271,"jangan ambil pilihan 4borsi tpi mereka hrs berdamai sm ortu, gaboleh makin ngelawan krna ya cuma ortu mereka yg bisa bantu, anak mo dirawat atau kasih panti ya itu bisa dipikirin.. INI DRAMA KENAPA TOPIK YANG DIBAHAS BERAT SEMUA ; utang, pembohong, depresi, hamil anak sma tbc"
ngelawan,melawan,271,"jangan ambil pilihan 4borsi tpi mereka hrs berdamai sm ortu, gaboleh makin ngelawan krna ya cuma ortu mereka yg bisa bantu, anak mo dirawat atau kasih panti ya itu bisa dipikirin.. INI DRAMA KENAPA TOPIK YANG DIBAHAS BERAT SEMUA ; utang, pembohong, depresi, hamil anak sma tbc"
mo,mau,271,"jangan ambil pilihan 4borsi tpi mereka hrs berdamai sm ortu, gaboleh makin ngelawan krna ya cuma ortu mereka yg bisa bantu, anak mo dirawat atau kasih panti ya itu bisa dipikirin.. INI DRAMA KENAPA TOPIK YANG DIBAHAS BERAT SEMUA ; utang, pembohong, depresi, hamil anak sma tbc"
tbc,,271,"jangan ambil pilihan 4borsi tpi mereka hrs berdamai sm ortu, gaboleh makin ngelawan krna ya cuma ortu mereka yg bisa bantu, anak mo dirawat atau kasih panti ya itu bisa dipikirin.. INI DRAMA KENAPA TOPIK YANG DIBAHAS BERAT SEMUA ; utang, pembohong, depresi, hamil anak sma tbc"
skam,,272,"waduh, mungkin kakaknya bisa nonton skam france season 3. pasangannya juga berpikir kaya kakak gini sampai akhirnya dia disadarin temennya kalau orang yang bipolar juga punya perasaan dan hati 🙏"
france,,272,"waduh, mungkin kakaknya bisa nonton skam france season 3. pasangannya juga berpikir kaya kakak gini sampai akhirnya dia disadarin temennya kalau orang yang bipolar juga punya perasaan dan hati 🙏"
season,musim,272,"waduh, mungkin kakaknya bisa nonton skam france season 3. pasangannya juga berpikir kaya kakak gini sampai akhirnya dia disadarin temennya kalau orang yang bipolar juga punya perasaan dan hati 🙏"
disadarin,disadarkan,272,"waduh, mungkin kakaknya bisa nonton skam france season 3. pasangannya juga berpikir kaya kakak gini sampai akhirnya dia disadarin temennya kalau orang yang bipolar juga punya perasaan dan hati 🙏"
temennya,temannya,272,"waduh, mungkin kakaknya bisa nonton skam france season 3. pasangannya juga berpikir kaya kakak gini sampai akhirnya dia disadarin temennya kalau orang yang bipolar juga punya perasaan dan hati 🙏"
jawa,,273,#Ramadan tahun ini mendadak diisi kejadian menggemparkan di salah satu desa di Jawa Timur. Diduga seorang pemuda yang mengalami depresi karena kekasihnya memilih menikah dengan orang lain saat dia merantau ke Jepang. M (32 tahun) membuang semua uangnya di jalanan! https://t.co/zh0FkQ8ghd
jepang,,273,#Ramadan tahun ini mendadak diisi kejadian menggemparkan di salah satu desa di Jawa Timur. Diduga seorang pemuda yang mengalami depresi karena kekasihnya memilih menikah dengan orang lain saat dia merantau ke Jepang. M (32 tahun) membuang semua uangnya di jalanan! https://t.co/zh0FkQ8ghd
m,,273,#Ramadan tahun ini mendadak diisi kejadian menggemparkan di salah satu desa di Jawa Timur. Diduga seorang pemuda yang mengalami depresi karena kekasihnya memilih menikah dengan orang lain saat dia merantau ke Jepang. M (32 tahun) membuang semua uangnya di jalanan! https://t.co/zh0FkQ8ghd
surabaya,,274,"@otongkoil Di Surabaya jg udh gk blh kantong plastic, jdi kmn2 hrs Bawa tas kain Itu, si Ibu mngkin depresi"
blh,boleh,274,"@otongkoil Di Surabaya jg udh gk blh kantong plastic, jdi kmn2 hrs Bawa tas kain Itu, si Ibu mngkin depresi"
plastic,plastik,274,"@otongkoil Di Surabaya jg udh gk blh kantong plastic, jdi kmn2 hrs Bawa tas kain Itu, si Ibu mngkin depresi"
kmn,kemana,274,"@otongkoil Di Surabaya jg udh gk blh kantong plastic, jdi kmn2 hrs Bawa tas kain Itu, si Ibu mngkin depresi"
mngkin,mungkin,274,"@otongkoil Di Surabaya jg udh gk blh kantong plastic, jdi kmn2 hrs Bawa tas kain Itu, si Ibu mngkin depresi"
nemu,menemukan,276,Siapapun yg nemu pc sang cimol tolong tag aku @milcloudss_ SAYA DEPRESI 😭🙏🏻🙏🏻🙏🏻🙏🏻
cimol,,276,Siapapun yg nemu pc sang cimol tolong tag aku @milcloudss_ SAYA DEPRESI 😭🙏🏻🙏🏻🙏🏻🙏🏻
tag,,276,Siapapun yg nemu pc sang cimol tolong tag aku @milcloudss_ SAYA DEPRESI 😭🙏🏻🙏🏻🙏🏻🙏🏻
heechul,,278,"Heechul depresi besar, setelah Hangeng meninggalkan Super Junior."
hangeng,,278,"Heechul depresi besar, setelah Hangeng meninggalkan Super Junior."
haa,oh,279,"@mycutieapple @kdrama_menfess Haa i see, aku kira semacam trauma gitu. Eh ternyata emang efek depresi yaa, hmm naruhodo"
see,lihat,279,"@mycutieapple @kdrama_menfess Haa i see, aku kira semacam trauma gitu. Eh ternyata emang efek depresi yaa, hmm naruhodo"
hmm,berdeham,279,"@mycutieapple @kdrama_menfess Haa i see, aku kira semacam trauma gitu. Eh ternyata emang efek depresi yaa, hmm naruhodo"
naruhodo,,279,"@mycutieapple @kdrama_menfess Haa i see, aku kira semacam trauma gitu. Eh ternyata emang efek depresi yaa, hmm naruhodo"
sbm,seleksi bersama masuk,280,"@sbmptnfess Gk kebayang klo sendernya gagal sbm. Pasti depresi. Yamaap, namanya juga cemas."
yamaap,ya maaf,280,"@sbmptnfess Gk kebayang klo sendernya gagal sbm. Pasti depresi. Yamaap, namanya juga cemas."
tot,entot,282,@gahdaymm demi allah tot lu jadiin alarm insyaallah lu depresi
jadiin,jadikan,282,@gahdaymm demi allah tot lu jadiin alarm insyaallah lu depresi
insyaallah,insyaallah,282,@gahdaymm demi allah tot lu jadiin alarm insyaallah lu depresi
pa,apa,283,@terinspirasu pa hubunganye anjir bipolar ama gabisa diem
hubunganye,hubungannya,283,@terinspirasu pa hubunganye anjir bipolar ama gabisa diem
kgk,tidak,284,"kgk jadi, semalem nyokap gw ngamuk bgt gegara kamar gw kek org depresi alias kotor bgt😭 akhirnya beberes baju2 yg kaga jelas numpuknya (INI TETIBA BGTT) dan skrg alhamdulilah rapih, tp lemari gw kagak muat sie, sama mau beli rak buat photobook biar keliatan cakep gt dipajang😇"
semalem,semalam,284,"kgk jadi, semalem nyokap gw ngamuk bgt gegara kamar gw kek org depresi alias kotor bgt😭 akhirnya beberes baju2 yg kaga jelas numpuknya (INI TETIBA BGTT) dan skrg alhamdulilah rapih, tp lemari gw kagak muat sie, sama mau beli rak buat photobook biar keliatan cakep gt dipajang😇"
nyokap,ibu,284,"kgk jadi, semalem nyokap gw ngamuk bgt gegara kamar gw kek org depresi alias kotor bgt😭 akhirnya beberes baju2 yg kaga jelas numpuknya (INI TETIBA BGTT) dan skrg alhamdulilah rapih, tp lemari gw kagak muat sie, sama mau beli rak buat photobook biar keliatan cakep gt dipajang😇"
ngamuk,mengamuk,284,"kgk jadi, semalem nyokap gw ngamuk bgt gegara kamar gw kek org depresi alias kotor bgt😭 akhirnya beberes baju2 yg kaga jelas numpuknya (INI TETIBA BGTT) dan skrg alhamdulilah rapih, tp lemari gw kagak muat sie, sama mau beli rak buat photobook biar keliatan cakep gt dipajang😇"
beberes,beres beres,284,"kgk jadi, semalem nyokap gw ngamuk bgt gegara kamar gw kek org depresi alias kotor bgt😭 akhirnya beberes baju2 yg kaga jelas numpuknya (INI TETIBA BGTT) dan skrg alhamdulilah rapih, tp lemari gw kagak muat sie, sama mau beli rak buat photobook biar keliatan cakep gt dipajang😇"
numpuknya,tertumpuk,284,"kgk jadi, semalem nyokap gw ngamuk bgt gegara kamar gw kek org depresi alias kotor bgt😭 akhirnya beberes baju2 yg kaga jelas numpuknya (INI TETIBA BGTT) dan skrg alhamdulilah rapih, tp lemari gw kagak muat sie, sama mau beli rak buat photobook biar keliatan cakep gt dipajang😇"
tetiba,tiba-tiba,284,"kgk jadi, semalem nyokap gw ngamuk bgt gegara kamar gw kek org depresi alias kotor bgt😭 akhirnya beberes baju2 yg kaga jelas numpuknya (INI TETIBA BGTT) dan skrg alhamdulilah rapih, tp lemari gw kagak muat sie, sama mau beli rak buat photobook biar keliatan cakep gt dipajang😇"
bgtt,sangat,284,"kgk jadi, semalem nyokap gw ngamuk bgt gegara kamar gw kek org depresi alias kotor bgt😭 akhirnya beberes baju2 yg kaga jelas numpuknya (INI TETIBA BGTT) dan skrg alhamdulilah rapih, tp lemari gw kagak muat sie, sama mau beli rak buat photobook biar keliatan cakep gt dipajang😇"
alhamdulilah,alhamdulillah,284,"kgk jadi, semalem nyokap gw ngamuk bgt gegara kamar gw kek org depresi alias kotor bgt😭 akhirnya beberes baju2 yg kaga jelas numpuknya (INI TETIBA BGTT) dan skrg alhamdulilah rapih, tp lemari gw kagak muat sie, sama mau beli rak buat photobook biar keliatan cakep gt dipajang😇"
rapih,rapi,284,"kgk jadi, semalem nyokap gw ngamuk bgt gegara kamar gw kek org depresi alias kotor bgt😭 akhirnya beberes baju2 yg kaga jelas numpuknya (INI TETIBA BGTT) dan skrg alhamdulilah rapih, tp lemari gw kagak muat sie, sama mau beli rak buat photobook biar keliatan cakep gt dipajang😇"
sie,sih,284,"kgk jadi, semalem nyokap gw ngamuk bgt gegara kamar gw kek org depresi alias kotor bgt😭 akhirnya beberes baju2 yg kaga jelas numpuknya (INI TETIBA BGTT) dan skrg alhamdulilah rapih, tp lemari gw kagak muat sie, sama mau beli rak buat photobook biar keliatan cakep gt dipajang😇"
photobook,buku foto,284,"kgk jadi, semalem nyokap gw ngamuk bgt gegara kamar gw kek org depresi alias kotor bgt😭 akhirnya beberes baju2 yg kaga jelas numpuknya (INI TETIBA BGTT) dan skrg alhamdulilah rapih, tp lemari gw kagak muat sie, sama mau beli rak buat photobook biar keliatan cakep gt dipajang😇"
thr,tunjangan hari raya,286,@depresi_aneh sambil nunggu thr cair https://t.co/y2nEKm2OSp
jelee,jelek,289,jariku jelee :( sering aku gigitin kalo lagi depresi sebagai pelarian supaya aku ga razor gituu https://t.co/WYqmvoFnUY
gigitin,mengigiti,289,jariku jelee :( sering aku gigitin kalo lagi depresi sebagai pelarian supaya aku ga razor gituu https://t.co/WYqmvoFnUY
razor,,289,jariku jelee :( sering aku gigitin kalo lagi depresi sebagai pelarian supaya aku ga razor gituu https://t.co/WYqmvoFnUY
dater,,290,Orang emng demen jadi serial dater kok dibilang efek bipolar sama bpd 😂🤣 gmn ya 😂😂😂
strees,stres,292,"Ptn! Ada enggak si yg strees utbk ngaruh ke fisik? Gara strees sama tekan ya aku jadi jarang ngerawat diri, kayak misalnya males makai toner, cuci muka dll, alhasil muka jadi keliatan hancur:'), tutor biar gak terlalu depresi gimana si"
ngaruh,berpengaruh,292,"Ptn! Ada enggak si yg strees utbk ngaruh ke fisik? Gara strees sama tekan ya aku jadi jarang ngerawat diri, kayak misalnya males makai toner, cuci muka dll, alhasil muka jadi keliatan hancur:'), tutor biar gak terlalu depresi gimana si"
ngerawat,merawat,292,"Ptn! Ada enggak si yg strees utbk ngaruh ke fisik? Gara strees sama tekan ya aku jadi jarang ngerawat diri, kayak misalnya males makai toner, cuci muka dll, alhasil muka jadi keliatan hancur:'), tutor biar gak terlalu depresi gimana si"
toner,,292,"Ptn! Ada enggak si yg strees utbk ngaruh ke fisik? Gara strees sama tekan ya aku jadi jarang ngerawat diri, kayak misalnya males makai toner, cuci muka dll, alhasil muka jadi keliatan hancur:'), tutor biar gak terlalu depresi gimana si"
awkarin,,293,@YourSoulPiercer @srwnd_ @arxhux Maap mbak saya bipolar tapii ga kayak awkarin… bahkan saya orgnya susah move on dri yanh dulu ke yang skrg bisa 4 tahun bersedihnya. Kayaknya ga ada nyambungnya sama mental illness deh
orgnya,orangnya,293,@YourSoulPiercer @srwnd_ @arxhux Maap mbak saya bipolar tapii ga kayak awkarin… bahkan saya orgnya susah move on dri yanh dulu ke yang skrg bisa 4 tahun bersedihnya. Kayaknya ga ada nyambungnya sama mental illness deh
move,pindah,293,@YourSoulPiercer @srwnd_ @arxhux Maap mbak saya bipolar tapii ga kayak awkarin… bahkan saya orgnya susah move on dri yanh dulu ke yang skrg bisa 4 tahun bersedihnya. Kayaknya ga ada nyambungnya sama mental illness deh
on,pada,293,@YourSoulPiercer @srwnd_ @arxhux Maap mbak saya bipolar tapii ga kayak awkarin… bahkan saya orgnya susah move on dri yanh dulu ke yang skrg bisa 4 tahun bersedihnya. Kayaknya ga ada nyambungnya sama mental illness deh
dri,dari,293,@YourSoulPiercer @srwnd_ @arxhux Maap mbak saya bipolar tapii ga kayak awkarin… bahkan saya orgnya susah move on dri yanh dulu ke yang skrg bisa 4 tahun bersedihnya. Kayaknya ga ada nyambungnya sama mental illness deh
yanh,yang,293,@YourSoulPiercer @srwnd_ @arxhux Maap mbak saya bipolar tapii ga kayak awkarin… bahkan saya orgnya susah move on dri yanh dulu ke yang skrg bisa 4 tahun bersedihnya. Kayaknya ga ada nyambungnya sama mental illness deh
nyambungnya,menyambungnya,293,@YourSoulPiercer @srwnd_ @arxhux Maap mbak saya bipolar tapii ga kayak awkarin… bahkan saya orgnya susah move on dri yanh dulu ke yang skrg bisa 4 tahun bersedihnya. Kayaknya ga ada nyambungnya sama mental illness deh
marshanda,marshanda,294,"Marshanda menyadari memiliki banyak luka di masa kecilnya. Oleh karena itu, aktris yang mengidap Bipolar ini berusaha untuk menyembuhkan dirinya demi sang anak. https://t.co/gAX642uR3N"
mereun,mungkin,295,"dan mental health ""aku tuh dulu punya mental health, agak depresi gt..."" mental illness mereun ya sayang"
anyaaa,anya,296,"@imhappysky Iya ih anyaaa tiap episode shshs sky baca manganya juga gak? Ah panchinko katanya bagusss! Aku blum nonton udah episode brp sekarang? Tomorrow kata aku mayan sih, tapi ada mention suicide sama depresi jadi kalau triggering harus ati ati sih"
shshs,,296,"@imhappysky Iya ih anyaaa tiap episode shshs sky baca manganya juga gak? Ah panchinko katanya bagusss! Aku blum nonton udah episode brp sekarang? Tomorrow kata aku mayan sih, tapi ada mention suicide sama depresi jadi kalau triggering harus ati ati sih"
sky,langit,296,"@imhappysky Iya ih anyaaa tiap episode shshs sky baca manganya juga gak? Ah panchinko katanya bagusss! Aku blum nonton udah episode brp sekarang? Tomorrow kata aku mayan sih, tapi ada mention suicide sama depresi jadi kalau triggering harus ati ati sih"
